year,name,rating,category,engine,detail_url
2023,Benelli BN 125,Show rating,Naked bike,125 ccm,https://bikez.com/motorcycles/benelli_bn_125_2023.php
2023,Benelli Imperiale 400,Show rating,Allround,374 ccm,https://bikez.com/motorcycles/benelli_imperiale_400_2023.php
2023,Benelli Leoncino 125,-,Enduro/offroad,125 ccm,https://bikez.com/motorcycles/benelli_leoncino_125_2023.php
2023,Benelli Leoncino 250,-,Super motard,249 ccm,https://bikez.com/motorcycles/benelli_leoncino_250_2023.php
2023,Benelli Leoncino 500,-,Enduro/offroad,500 ccm,https://bikez.com/motorcycles/benelli_leoncino_500_2023.php
2023,Benelli Leoncino 500 ES,-,Allround,500 ccm,https://bikez.com/motorcycles/benelli_leoncino_500_es_2023.php
2023,Benelli Leoncino 500 Trail,-,Enduro/offroad,500 ccm,https://bikez.com/motorcycles/benelli_leoncino_500_trail_2023.php
2023,Benelli Leoncino 500 Trail ES,-,Enduro/offroad,500 ccm,https://bikez.com/motorcycles/benelli_leoncino_500_trail_es_2023.php
2023,Benelli Leoncino 800,-,Naked bike,754 ccm,https://bikez.com/motorcycles/benelli_leoncino_800_2023.php
2023,Benelli Leoncino 800 ES,-,Naked bike,754 ccm,https://bikez.com/motorcycles/benelli_leoncino_800_es_2023.php
2023,Benelli Leoncino 800 Trail,-,Enduro/offroad,754 ccm,https://bikez.com/motorcycles/benelli_leoncino_800_trail_2023.php
2023,Benelli Leoncino 800 Trail ES,-,Enduro/offroad,754 ccm,https://bikez.com/motorcycles/benelli_leoncino_800_trail_es_2023.php
2023,Benelli Leoncino Trail,-,Enduro/offroad,500 ccm,https://bikez.com/motorcycles/benelli_leoncino_trail_2023.php
2023,Benelli TNT 135,-,"Minibike, sport",135 ccm,https://bikez.com/motorcycles/benelli_tnt_135_2023.php
2023,Benelli Tornado Naked T 125,-,"Minibike, sport",125 ccm,https://bikez.com/motorcycles/benelli_tornado_naked_t_125_2023.php
2023,Benelli Tornado Naked Twin 500,-,Naked bike,500 ccm,https://bikez.com/motorcycles/benelli_tornado_naked_twin_500_2023.php
2023,Benelli TRK 251,-,Touring,249 ccm,https://bikez.com/motorcycles/benelli_trk_251_2023.php
2023,Benelli TRK 502,-,Allround,500 ccm,https://bikez.com/motorcycles/benelli_trk_502_2023.php
2023,Benelli TRK 502X,Show rating,Allround,500 ccm,https://bikez.com/motorcycles/benelli_trk_502x_2023.php
2023,Benelli TRK 702,Show rating,Allround,698 ccm,https://bikez.com/motorcycles/benelli_trk_702_2023.php
2023,Benelli TRK 702X,Show rating,Allround,698 ccm,https://bikez.com/motorcycles/benelli_trk_702x_2023.php
2023,Benelli TRK 800,-,Allround,754 ccm,https://bikez.com/motorcycles/benelli_trk_800_2023.php
2023,Bennche Gray Wolf 400,-,ATV,352 ccm,https://bikez.com/motorcycles/bennche_gray_wolf_400_2023.php
2023,Bennche Gray Wolf 550L,-,ATV,493 ccm,https://bikez.com/motorcycles/bennche_gray_wolf_550l_2023.php
2023,Bennche Pathcross 650L,-,ATV,650 ccm,https://bikez.com/motorcycles/bennche_pathcross_650l_2023.php
2023,Beta Alp 200,-,Enduro/offroad,199 ccm,https://bikez.com/motorcycles/beta_alp_200_2023.php
2023,Beta Evo 2T 125,-,Trial,125 ccm,https://bikez.com/motorcycles/beta_evo_2t_125_2023.php
2023,Beta Evo 2T 250,-,Trial,250 ccm,https://bikez.com/motorcycles/beta_evo_2t_250_2023.php
2023,Beta Evo 2T 300,-,Trial,297 ccm,https://bikez.com/motorcycles/beta_evo_2t_300_2023.php
2023,Beta Evo 2T 300 SS,-,Trial,297 ccm,https://bikez.com/motorcycles/beta_evo_2t_300_ss_2023.php
2023,Beta Evo 4T 300,-,Trial,297 ccm,https://bikez.com/motorcycles/beta_evo_4t_300_2023.php
2023,Beta Evo 80 Junior,-,Trial,80 ccm,https://bikez.com/motorcycles/beta_evo_80_junior_2023.php
2023,Beta Evo 80 Senior,-,Trial,80 ccm,https://bikez.com/motorcycles/beta_evo_80_senior_2023.php
2023,Beta RR 2T 125,-,Enduro/offroad,125 ccm,https://bikez.com/motorcycles/beta_rr_2t_125_2023.php
2023,Beta RR 2T 200,-,Enduro/offroad,190 ccm,https://bikez.com/motorcycles/beta_rr_2t_200_2023.php
2023,Beta RR 2T 250,-,Enduro/offroad,249 ccm,https://bikez.com/motorcycles/beta_rr_2t_250_2023.php
2023,Beta RR 2T 300,-,Enduro/offroad,293 ccm,https://bikez.com/motorcycles/beta_rr_2t_300_2023.php
2023,Beta RR 4T 350,-,Enduro/offroad,349 ccm,https://bikez.com/motorcycles/beta_rr_4t_350_2023.php
2023,Beta RR 4T 390,-,Enduro/offroad,386 ccm,https://bikez.com/motorcycles/beta_rr_4t_390_2023.php
2023,Beta RR 4T 430,-,Enduro/offroad,431 ccm,https://bikez.com/motorcycles/beta_rr_4t_430_2023.php
2023,Beta RR 4T 480,-,Enduro/offroad,478 ccm,https://bikez.com/motorcycles/beta_rr_4t_480_2023.php
2023,Beta RR Racing 2T 125,-,Enduro/offroad,125 ccm,https://bikez.com/motorcycles/beta_rr_racing_2t_125_2023.php
2023,Beta RR Racing 2T 200,-,Enduro/offroad,190 ccm,https://bikez.com/motorcycles/beta_rr_racing_2t_200_2023.php
2023,Beta RR Racing 2T 250,-,Enduro/offroad,249 ccm,https://bikez.com/motorcycles/beta_rr_racing_2t_250_2023.php
2023,Beta RR Racing 2T 300,-,Enduro/offroad,293 ccm,https://bikez.com/motorcycles/beta_rr_racing_2t_300_2023.php
2023,Beta RR Racing 4T 350,-,Enduro/offroad,349 ccm,https://bikez.com/motorcycles/beta_rr_racing_4t_350_2023.php
2023,Beta RR Racing 4T 390,-,Enduro/offroad,385 ccm,https://bikez.com/motorcycles/beta_rr_racing_4t_390_2023.php
2023,Beta RR Racing 4T 430,-,Enduro/offroad,431 ccm,https://bikez.com/motorcycles/beta_rr_racing_4t_430_2023.php
2023,Beta RR Racing 4T 480,-,Enduro/offroad,478 ccm,https://bikez.com/motorcycles/beta_rr_racing_4t_480_2023.php
2023,Beta Xtrainer 250,-,Enduro/offroad,249 ccm,https://bikez.com/motorcycles/beta_xtrainer_250_2023.php
2023,Beta Xtrainer 300,Show rating,Enduro/offroad,293 ccm,https://bikez.com/motorcycles/beta_xtrainer_300_2023.php
2023,Bimota BX450,-,Enduro/offroad,449 ccm,https://bikez.com/motorcycles/bimota_bx450_2023.php
2023,Bimota KB4,-,Sport,1043 ccm,https://bikez.com/motorcycles/bimota_kb4_2023.php
2023,Bimota KB4 RC,-,Sport,1043 ccm,https://bikez.com/motorcycles/bimota_kb4_rc_2023.php
2023,Bimota Tesi H2,-,Sport,998 ccm,https://bikez.com/motorcycles/bimota_tesi_h2_2023.php
2023,Bintelli Beast 150,-,Scooter,150 ccm,https://bikez.com/motorcycles/bintelli_beast_150_2023.php
2023,Bintelli Beast 49,-,Allround,49 ccm,https://bikez.com/motorcycles/bintelli_beast_49_2023.php
2023,Bintelli Escape 49,-,Scooter,49 ccm,https://bikez.com/motorcycles/bintelli_escape_49_2023.php
2023,Bintelli Flash 150,-,Scooter,150 ccm,https://bikez.com/motorcycles/bintelli_flash_150_2023.php
2023,Bintelli Flash 49,-,Scooter,49 ccm,https://bikez.com/motorcycles/bintelli_flash_49_2023.php
2023,Bintelli Scorch 150,-,Scooter,150 ccm,https://bikez.com/motorcycles/bintelli_scorch_150_2023.php
2023,Bintelli Scorch 49,-,Scooter,49 ccm,https://bikez.com/motorcycles/bintelli_scorch_49_2023.php
2023,Bintelli Sprint 49,-,Scooter,49 ccm,https://bikez.com/motorcycles/bintelli_sprint_49_2023.php
2023,Bluroc Tracker 125,-,Super motard,125 ccm,https://bikez.com/motorcycles/bluroc_tracker_125_2023.php
2023,Bluroc V-Bob 250,-,Allround,250 ccm,https://bikez.com/motorcycles/bluroc_v-bob_250_2023.php
2023,BMW C 400 GT,-,Scooter,350 ccm,https://bikez.com/motorcycles/bmw_c_400_gt_2023.php
2023,BMW C400X,-,Scooter,350 ccm,https://bikez.com/motorcycles/bmw_c400x_2023.php
2023,BMW CE 04,Show rating,Scooter,Electric,https://bikez.com/motorcycles/bmw_ce_04_2023.php
2023,BMW F 750 GS,-,Enduro/offroad,853 ccm,https://bikez.com/motorcycles/bmw_f_750_gs_2023.php
2023,BMW F 850 GS,Show rating,Enduro/offroad,853 ccm,https://bikez.com/motorcycles/bmw_f_850_gs_2023.php
2023,BMW F 850 GS Adventure,-,Enduro/offroad,853 ccm,https://bikez.com/motorcycles/bmw_f_850_gs_adventure_2023.php
2023,BMW F 900 R,-,Sport,895 ccm,https://bikez.com/motorcycles/bmw_f_900_r_2023.php
2023,BMW F 900 XR,Show rating,Sport,895 ccm,https://bikez.com/motorcycles/bmw_f_900_xr_2023.php
2023,BMW G 310 GS,-,Sport,313 ccm,https://bikez.com/motorcycles/bmw_g_310_gs_2023.php
2023,BMW G 310 R,-,Sport,313 ccm,https://bikez.com/motorcycles/bmw_g_310_r_2023.php
2023,BMW K 1600 B,Show rating,Touring,1649 ccm,https://bikez.com/motorcycles/bmw_k_1600_b_2023.php
